Twitter Profile,Name,Description,Website,Price ETH,Twitter User Created,Twitter User Description,Twitter User Favourites Count,Twitter User Followers Count,Twitter User Friends Count,Twitter User Listed Count,Twitter User Statuses Count,Twitter User Media Count,Twitter User Location,Twitter User Profile Banner Url,Twitter User Profile Image Url
bricktopians,Bricktopians,3D avatar NFTs generated by AI,bricktopians.com,0.08,2021-09-14 11:12:45+00:00,🧱,337.0,16086.0,902.0,17.0,190.0,71.0,,https://pbs.twimg.com/profile_banners/1437735970367946755/1636379724,https://pbs.twimg.com/profile_images/1455407376417181697/-AfmHUyh_normal.jpg
Digi_metaverse,DigiAvatar for DigiNation,Digital avatar NFTs,digiavatar.digination.io,0.08,2021-09-03 03:50:35+00:00,"Web3 #Metaverse featuring #NFT-based innovation | Discord for Whitelisting: discord.gg/jVEgfkb5Fm

Public Mint begins Nov 19! 💎

#GameFi #NFTGame #DigiNation",148.0,22135.0,310.0,17.0,215.0,93.0,Metaverse,https://pbs.twimg.com/profile_banners/1433638298887491601/1636261364,https://pbs.twimg.com/profile_images/1460945051836551168/4LyCXKwN_normal.jpg
coin_leagues,Coin League,Price Prediction NFT Game,coinleague.games,0.0,2021-09-05 05:12:36+00:00,"Welcome to Coin League. The premier NFT price prediction game Running on BSC and Polygon, Powered By Chainlink & BiTToken and built By DEXKIT",32.0,10077.0,18.0,10.0,43.0,4.0,,https://pbs.twimg.com/profile_banners/1434383871693320192/1635670712,https://pbs.twimg.com/profile_images/1454734517785161734/9DtK-HOn_normal.jpg
SeasocornNFT,Seasocorns NFT,Unicorn avatar NFTs on Solana,seasocorns.com,0.0,2021-09-26 14:08:21+00:00,"6,666 Unicorns by @IbandaBenjamin on #Solana Launching on 18th November at 7pm UTC. Discord: discord.gg/zFWvGzbENt",3219.0,2289.0,174.0,0.0,893.0,290.0,Hemisphere,https://pbs.twimg.com/profile_banners/1442128793682911232/1635096360,https://pbs.twimg.com/profile_images/1451255176413728769/F8X0BM5v_normal.jpg
RuneClubNFT,RuneClub,Knighthood PvP gaming themed NFT collection on Ethereum,runeclub.io,0.07,2021-08-31 22:54:15+00:00,RuneClub - the PvP game inspired NFT ⚔️ | discord.gg/6jqjPg93FF,453.0,1518.0,1080.0,1.0,191.0,92.0,Wilderness,https://pbs.twimg.com/profile_banners/1432839134570156035/1633674674,https://pbs.twimg.com/profile_images/1432840857179222019/CUve-b5Z_normal.jpg
TheYolkFrat,The Yolk Frat,Unique character avatar NFTs,www.theyolkfrat.io,0.1,2021-10-22 16:18:21+00:00,The first decentralized investment club dedicated to #NFT. 9999 investors linked on the blockchain. Join the Yolk Fraternity on discord: discord.gg/theyolkfrat,415.0,8124.0,33.0,3.0,62.0,52.0,metaverse,https://pbs.twimg.com/profile_banners/1451583616748711942/1635422920,https://pbs.twimg.com/profile_images/1453695706041131012/YWepe5H2_normal.jpg
bionicagirls,Bionica Girls Club,Empowered female avatar NFTs,www.bionicagirls.com,0.055,2021-08-31 17:48:55+00:00,"#9999 Badass Female Avatars By @Caramel_nft

🪐🔥••➡️ Discord: discord.gg/NCDXmcvwMu

❤️••➡️  OpenSea : opensea.io/collection/bio…",12.0,11192.0,11.0,6.0,32.0,15.0,,https://pbs.twimg.com/profile_banners/1432762291351588864/1635076918,https://pbs.twimg.com/profile_images/1454549556046270473/XCncbyKa_normal.jpg
CryptoGrandmaz,CryptoGrandmas,Grandmother themed avatar NFTs,www.cryptograndmas.io,0.05,2021-10-01 06:36:31+00:00,"1111 Genesis CryptoGrandmas. 

Main Sale Tonight 22:00 UTC! (18th Nov)

Discord: discord.gg/6Jue4gQ8kb 
OS: opensea.io/collection/gen…",447.0,3880.0,107.0,2.0,143.0,17.0,Metaverse,https://pbs.twimg.com/profile_banners/1443827069696323585/1633959423,https://pbs.twimg.com/profile_images/1447571239376146442/5vIAOdej_normal.jpg
bigheadhq,Ghostbusters Afterlife,Mini-Puft themed avatar NFTs,www.twelvedaysofafterlife.com,0.08,2009-03-18 15:33:32+00:00,twelvedaysofafterlife.com 👻👻👻Ghostbusters: Afterlife DROP NOVEMBER 18th 4pm pacific 👻👻👻     (Also 😸Stoner Cats | 👹Oni Ronin ),5421.0,8778.0,134.0,266.0,20152.0,724.0,Here and there,https://pbs.twimg.com/profile_banners/25091677/1635780742,https://pbs.twimg.com/profile_images/1456610874974740483/s65Rm4do_normal.png
NFT_Heroz,NFT Heroz,Pixel art hero themed avatar NFTs,nftheroz.io,0.06,2021-08-25 06:07:37+00:00,10k digital action figure collectables sent to save the ETH blockchain. @NFT_Heroz now minting at Web: nftheroz.io. Discord: discord.gg/gPnHdDw7tS,303.0,2617.0,64.0,2.0,372.0,72.0,"Sydney, Australia",https://pbs.twimg.com/profile_banners/1430411315965698051/1633130293,https://pbs.twimg.com/profile_images/1444116069946310663/-GIW4c1-_normal.jpg
blockfaces,Sophiafaces,Block face NFTs,www.blockfaces.xyz,0.06,2021-07-04 06:49:21+00:00,"Fun, lighthearted & kawaii af 🥰 
@Blockfaces x @Cosplayers = Sophiafaces!
Mint - blockfaces.xyz 
Discord - discord.gg/MCXtdTeWaT",0.0,3095.0,0.0,1.0,138.0,33.0,Ethereum Blockchain,https://pbs.twimg.com/profile_banners/1411577651345596423/1636823993,https://pbs.twimg.com/profile_images/1460613786776133633/OI8c7udc_normal.jpg
multversofwomen,Multiverse of Women,Powerful woman inspired themed avatar NFTs,multiverseofwomen.art,0.05,2008-07-13 05:51:07+00:00,"10K female collectible with Unique traits #MoWNFT #MultiverseofWomen #NFT #NFTArt #WomeninNFT
discord.gg/znBWgFkVEP",2957.0,7772.0,407.0,160.0,2382.0,222.0,ERC-721,https://pbs.twimg.com/profile_banners/15412338/1633425891,https://pbs.twimg.com/profile_images/1445319238890233856/3Y2dKr6a_normal.jpg
JustMogwaiz,Just Mogwaiz,Mogwai themed NFTs,justmogwaiz.io/#,0.08,2021-11-01 04:08:16+00:00,"Don't feed these NFTs after Midnight #NEWNFT #MOGZ
LAUNCH NOVEMBER 19TH 5PM EST (FRIDAY)
Join our Discord: discord.gg/fB7h8qHtDt",1663.0,3500.0,495.0,5.0,27.0,14.0,Online,https://pbs.twimg.com/profile_banners/1455023778371620866/1635740313,https://pbs.twimg.com/profile_images/1456045007035637768/fglS1dZ4_normal.jpg
ainsei.com,Tainsei,Discord,0.07 ETH,0.0,,,,,,,,,,,
